a1,b1
6200,5600
5600,5100
6000,5000
5700,5400
5600,5200
5400,4800
5500,4900
5300,4900
5000,4800
5300,4900
5100,4800
5100,4600
4900,4500
4900,4300
4500,4200
4200,4000
4000,3700
4300,4100
4200,4000
4000,3600
4500,4000
4800,4400
4600,4400
4700,4500
4500,4200
4300,3500
4200,3900
4200,3700
4600,4100
4200,3900
4200,4000
4300,3700
4600,4300
4600,4000
4700,4200
4300,4100
4100,3900
4400,4100
4600,4400
4300,4100
4100,3900
3900,3700
3800,3500
4100,3900
4100,3600
3400,2800
3100,2700
2900,2600
2600,2300
2600,2000
